imageId;category;imagePath
0;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/0_15375375972_a1a7bcbb02_o.jpg
1;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/1_127825139_a430fcdf0c_o.jpg
2;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/2_37125372203_254d5cb081_o.jpg
3;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/3_5408558124_1525309d6d_o.jpg
4;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/4_8475874597_cf19ef6564_o.jpg
5;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/5_14235446383_45c86db04f_o.jpg
6;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/6_47454379281_9dde2458e8_o.jpg
7;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/7_2242940421_0abd470594_o.jpg
8;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/8_12116194823_9e24c3826a_o.jpg
9;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/9_14415758295_443aa4c775_o.jpg
10;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/10_14435291648_15b28853a4_o.jpg
11;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/11_3321347595_866f927b4c_o.jpg
12;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/12_6425090119_a116406bca_o.jpg
13;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/13_5462330087_970315e5e8_o.jpg
14;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/14_5576567395_8d8d86d072_o.jpg
15;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/15_16903933427_f6514729dd_o.jpg
16;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/16_16210674244_a9c74fe588_o.jpg
17;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/17_16424164745_227869f3b3_o.jpg
18;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/18_5593826855_e9e74c5e06_o.jpg
19;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/19_2349801988_fe1e5a79a2_o.jpg
20;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/20_12445414925_4faeb6b4e7_o.jpg
21;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/21_8413451136_3268d53682_o.jpg
22;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/22_54919824_069bba5f9f_o.jpg
23;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/23_14214555467_639908a7c9_o.jpg
24;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/24_314646922_70ff55495b_o.jpg
25;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/25_4901402905_5c5f4c0279_o.jpg
26;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/26_4524580145_f94ec2179b_o.jpg
27;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/27_4994104027_84521b7be9_o.jpg
28;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/28_5740123978_2916ae8bb5_o.jpg
29;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/29_2099638403_d427187223_o.jpg
30;Exclude;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/30_61228107_d1d4269d2a_o.jpg
31;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/31_5845637488_7b430bfaf6_o.jpg
32;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/32_6674416303_98aaebe6e8_o.jpg
33;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/33_7469641132_8154edecdb_o.jpg
34;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/34_396633676_0d151f4277_o.jpg
35;Use;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/35_396642397_a5d425dbc0_o.jpg
36;Not sure;D:/Documents/Uni Kurse/Bachelorarbeit/CC Crawler/images/36_377595734_0bc9a3d8d0_o.jpg
