language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.363920356,-0.292043457,1,0,0,1.8068,gr_flag,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,0.036711426,-0.377064887,1,0,0,13.1536,cont_gr,8,6.7137,0.359675157,-0.42388387,1,0,0,next_trial_button,0,0,0,16,1,beach,invisiblesun,noclouds,2,"752.8089887640449,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,4,4.1773,0.472955729,-0.426938477,1,0,0,next_trial_button,0,1,1,36,1,landscape,invisiblesun,noclouds,4,"281.25,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,2.9475,0.403119982,-0.437091878,1,0,0,next_trial_button,0,2,2,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,3.3662,0.424785292,-0.417323405,1,0,0,next_trial_button,0,3,3,42,1,beach,visiblesun,noclouds,5,"834.4594594594595,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,4,3.5284,0.477122803,-0.425908067,1,0,0,next_trial_button,0,4,4,13,1,landscape,invisiblesun,yesclouds,1,"783.1192660550458,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,4,3.4301,0.346296522,-0.415366211,1,0,0,next_trial_button,0,5,5,32,1,beach,invisiblesun,noclouds,4,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,3.5956,0.390844727,-0.406042752,1,0,0,next_trial_button,0,6,6,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,3.1468,0.397676866,-0.421109484,1,0,0,next_trial_button,0,7,7,64,1,beach,invisiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,4,3.6768,0.448507894,-0.44569614,1,0,0,next_trial_button,0,8,8,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,4,4.3954,0.340616048,-0.388342896,1,0,0,next_trial_button,0,9,9,46,1,landscape,visiblesun,noclouds,5,"750,500",
